LinkedIn,Twitter,Facebook,Industry Groups,Number of Funding Rounds,Closed Date,Last Equity Funding Type,IPO Status,Organization Name,CB Rank (Company),Website,Total Funding Amount,Total Funding Amount Currency,Postal Code,Phone Number,Contact Email,Number of Exits,SEMrush - Global Traffic Rank,city,country,Regions,State,Founded Year 5+,Operating Status (Labeled),Company Type (Labeled),employees counts,Within One Year,Total Funding Amount Preprocessed
1,1,0,"Blockchain and Cryptocurrency, Government and Military, Hardware, Information Technology, Other, Science and Engineering, Transportation",0.0,0,0,0,UFO,오,1,0.0,0,94089,1,1,0.0,일,,us,San Francisco Bay Area,West Coast,0,1,1,2.0,0,0
1,1,1,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Science and Engineering",1.0,0,Pre-Seed,0,DroneAdda,오,1,0.0,INR,110016,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,0,1,"Health Care, Information Technology, Internet Services, Professional Services, Software, Transportation",0.0,0,0,0,Invamar,오,1,0.0,0,41480,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
0,0,0,Science and Engineering,0.0,0,0,0,Nutana Aviation Capital,오,1,0.0,0,0,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,3.0,0,0
1,0,1,"Design, Hardware, Manufacturing, Transportation",0.0,0,0,0,Space quarters,오,1,0.0,0,150-0002,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,0.0,0,0
1,1,1,"Transportation, Travel and Tourism",0.0,0,0,0,WayQueer Travel Soiciety,오,1,0.0,0,92113,1,1,0.0,일,,us,Greater San Diego Area,Western US,0,1,1,1.0,0,0
1,0,0,"Government and Military, Information Technology, Science and Engineering",1.0,0,Pre-Seed,0,Unmanned Defense Systems,사,1,1000000.0,EUR,LT-08412,1,1,0.0,오,,,European Union (EU),and Africa (EMEA),0,1,1,2.0,0,0
1,1,1,"Consumer Electronics, Consumer Goods, Hardware, Other, Science and Engineering, Software",2.0,0,Pre-Seed,0,FlyLab Solutions Private Limited,사,1,3700000.0,INR,422013,1,1,0.0,오,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,1,0
1,1,0,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software",1.0,0,Pre-Seed,0,Pryzm,사,1,0.0,USD,0,1,1,0.0,오,,us,Greater Boston Area,New England,0,1,1,1.0,0,0
0,0,0,"Manufacturing, Science and Engineering, Transportation",0.0,0,0,0,AstroX,오,1,0.0,0,0,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
0,0,0,"Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software",0.0,0,0,0,99AeroSpace,오,1,0.0,0,842001,0,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
0,0,0,"Internet Services, Science and Engineering, Software",0.0,0,0,0,Neem-ti,오,1,0.0,0,0,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,0
1,0,0,"Food and Beverage, Science and Engineering",1.0,0,Pre-Seed,0,DineUp,오,1,0.0,USD,0,0,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,1.0,0,0
1,1,0,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Manufacturing, Science and Engineering",3.0,0,Seed,0,Firestorm,사,1,20519500.0,USD,0,0,0,0.0,오,,us,Greater San Diego Area,Western US,0,1,1,2.0,1,0
1,1,0,Science and Engineering,0.0,0,0,0,Spaceflux,오,1,0.0,0,0,1,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,2.0,0,0
1,0,1,Science and Engineering,2.0,0,0,0,Orbital Services Corporation (OSCorp),사,1,274999.0,USD,80903,0,1,0.0,일,,us,Western US,Western US,0,1,1,1.0,1,0
1,0,1,Science and Engineering,3.0,0,Seed,0,Unastella,사,1,5500000000.0,KRW,0,0,0,0.0,오,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,1,1
1,1,1,"Government and Military, Hardware, Manufacturing, Science and Engineering",0.0,0,0,0,PyraLink Aerospace,오,1,0.0,0,0,1,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,0,0,"Hardware, Manufacturing, Science and Engineering",0.0,0,0,0,Metahelios Ltd,오,1,0.0,0,G3 8AZ,0,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,1,1,"Apps, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Hardware, Mobile, Science and Engineering, Software, Transportation",0.0,0,0,0,Neutrinos Platforms,오,1,0.0,0,94112,1,1,0.0,일,,us,San Francisco Bay Area,Western US,0,1,1,1.0,0,0
1,1,0,"Hardware, Health Care, Science and Engineering, Software, Transportation",2.0,0,Seed,0,Violet Labs,사,1,4000000.0,USD,0,0,1,0.0,오,silicon_valley,us,San Francisco Bay Area,Western US,0,1,1,2.0,1,0
0,0,0,"Blockchain and Cryptocurrency, Financial Services, Hardware, Internet Services, Manufacturing, Payments, Science and Engineering, Software",1.0,0,0,0,DeFli Networks,사,1,1002.0,USD,0,0,1,0.0,오,new_york,us,Greater New York Area,Northeastern US,0,1,1,2.0,1,0
1,0,0,"Hardware, Transportation",0.0,0,0,0,DozeraX Space,오,1,0.0,0,0,0,1,0.0,일,,,0,0,0,1,0,9.0,0,0
1,0,0,"Science and Engineering, Transportation",3.0,0,Seed,0,K2 Space,사,1,15528471.0,USD,90069,1,0,0.0,오,,us,Greater Los Angeles Area,Western US,0,1,1,1.0,1,0
1,1,1,"Science and Engineering, Transportation",1.0,0,Series A,0,Bee Flights,사,1,3000000000.0,INR,0,0,0,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,1.0,0,1
1,0,0,"Manufacturing, Science and Engineering, Software, Transportation",1.0,0,Pre-Seed,0,Trace.Space,사,1,1500000.0,USD,0,0,0,0.0,일,silicon_valley,us,San Francisco Bay Area,Western US,0,1,1,1.0,0,0
1,1,0,"Government and Military, Information Technology, Manufacturing, Science and Engineering",2.0,0,Seed,0,Castelion,삼,1,19614995.0,USD,0,1,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,2.0,1,0
1,0,0,"Energy, Hardware, Manufacturing, Science and Engineering",2.0,0,Pre-Seed,0,TRL11,사,1,3000000.0,USD,0,0,0,0.0,오,,us,Greater Los Angeles Area,Western US,0,1,1,2.0,1,0
1,1,0,"Manufacturing, Other, Science and Engineering",2.0,0,Series A,0,Apex - Spacecraft Manufacturing,사,1,27000000.0,USD,90230,0,0,0.0,오,,us,Greater Los Angeles Area,Western US,0,1,1,2.0,1,0
1,0,1,"Education, Science and Engineering",0.0,0,0,0,Go Sky Aviation,오,1,0.0,0,110078,1,1,0.0,일,,,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,2.0,0,0
0,0,0,"Manufacturing, Science and Engineering",1.0,0,Seed,0,Wuyue Hangke,오,0,0.0,USD,0,0,0,0.0,일,,cn,Asia-Pacific (APAC),Asia-Pacific (APAC),0,1,1,3.0,1,0
1,0,1,"Manufacturing, Science and Engineering",0.0,0,0,0,High Point Aerotechnologies,오,1,0.0,0,75201,0,0,0.0,오,,us,Dallas/Fort Worth Metroplex,Southern US,0,1,1,4.0,0,0
1,1,1,"Education, Science and Engineering",0.0,0,0,0,Revv Aviation,오,1,0.0,0,60554,1,0,0.0,오,,us,Greater Chicago Area,Midwestern US,0,1,1,5.0,0,0
1,1,0,"Commerce and Shopping, Science and Engineering, Transportation",0.0,0,0,0,Ceiling And Visibility Unlimited,오,1,0.0,0,M90 1QX,0,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,4.0,0,0
1,1,0,"Government and Military, Hardware, Information Technology, Software, Transportation",2.0,0,Pre-Seed,0,Magnestar Inc.,사,1,1100000.0,USD,M5H 3E5,0,1,0.0,일,,,Great Lakes,Great Lakes,0,1,1,1.0,0,0
1,0,0,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software",1.0,0,0,0,SOTIRIA Technology,사,1,100000.0,USD,0,0,1,0.0,일,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,1,0
0,0,0,"Financial Services, Lending and Investments, Science and Engineering",0.0,0,0,0,Eleverse,오,1,0.0,0,W6 0BT,0,1,0.0,일,,,Europe,and Africa (EMEA),0,1,1,1.0,0,0
1,0,0,Science and Engineering,1.0,0,Seed,0,STELLS,사,1,500000.0,USD,L3T0C4,0,1,0.0,일,,,Great Lakes,Great Lakes,0,1,1,2.0,0,0
1,1,0,"Data and Analytics, Information Technology, Science and Engineering",2.0,0,Pre-Seed,0,The Exclosure,사,1,850000.0,USD,94110,0,1,0.0,일,silicon_valley,us,San Francisco Bay Area,Western US,0,1,1,1.0,1,0
1,0,0,"Transportation, Travel and Tourism",2.0,0,Seed,0,HALO Space,사,1,1500000.0,EUR,0,0,1,0.0,오,,,European Union (EU),and Africa (EMEA),0,1,1,1.0,0,0
1,0,0,"Science and Engineering, Software",2.0,0,Pre-Seed,0,Space Interactions Inc.,사,1,200000.0,USD,48312,0,0,0.0,일,,us,Greater Detroit Area,Midwestern US,0,1,1,1.0,0,0
1,1,0,"Science and Engineering, Software, Transportation",1.0,0,Pre-Seed,0,Charter Space,오,1,0.0,USD,0,0,1,0.0,일,,us,Greater Los Angeles Area,Western US,0,1,1,1.0,0,0
1,0,0,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software",1.0,0,Undisclosed,0,"Kquika, Inc",오,1,0.0,USD,10010,0,1,0.0,일,new_york,us,Greater New York Area,Northeastern US,0,1,1,1.0,0,0
1,0,0,Science and Engineering,0.0,0,0,0,ATRX,오,1,0.0,0,35803,0,1,0.0,일,,us,Southern US,Southern US,0,1,1,1.0,0,0
1,0,1,"Energy, Government and Military, Hardware, Health Care, Information Technology, Manufacturing, Natural Resources, Science and Engineering, Sustainability, Transportation",0.0,0,0,0,Saiyan Innovations,오,1,0.0,0,75703,0,1,0.0,일,,us,Southern US,Southern US,0,1,1,1.0,0,0
1,1,0,"Administrative Services, Other, Science and Engineering",0.0,0,0,0,Aerospace Commodities,오,1,0.0,0,75214,1,0,0.0,일,,us,Dallas/Fort Worth Metroplex,Southern US,0,1,1,1.0,0,0
1,0,0,"Professional Services, Science and Engineering, Transportation",0.0,0,0,0,C2S Aerospace,오,1,0.0,0,0,1,1,0.0,일,,us,East Coast,Southern US,0,1,1,1.0,0,0
1,1,0,"Science and Engineering, Transportation",4.0,0,Seed,0,Inversion,사,1,10000000.0,USD,0,0,1,0.0,오,,us,Greater Los Angeles Area,Western US,0,1,1,1.0,0,0
1,0,0,"Manufacturing, Science and Engineering, Transportation",5.0,0,Pre-Seed,0,Space DOTS,사,1,2992524.0,USD,0,0,1,0.0,오,,,Europe,and Africa (EMEA),0,1,1,1.0,1,0
1,1,0,"Hardware, Science and Engineering, Software",3.0,0,Angel,0,Space Elements,사,1,700000.0,USD,37203,0,1,0.0,오,,us,Southern US,Southern US,0,1,1,1.0,0,0
1,0,0,"Hardware, Science and Engineering, Software",2.0,0,Seed,0,Lulav Space,오,1,0.0,USD,3303322,1,1,0.0,일,,,Europe,Middle East,0,1,1,1.0,1,0
1,1,1,"Government and Military, Science and Engineering, Transportation",0.0,0,0,0,Galactiv,오,1,0.0,0,0,0,1,0.0,일,,us,Southern US,Southern US,0,1,1,1.0,0,0
